"Year","Country","Hotel","Total_ADR"
2015,"AUT","City Hotel",5339.87
2015,"AUT","Resort Hotel",2633.42
2015,"BEL","City Hotel",12949.29
2015,"BEL","Resort Hotel",7645.55
2015,"BRA","City Hotel",9591.51
2015,"BRA","Resort Hotel",4896.45
2015,"CHE","City Hotel",6788.31
2015,"CHE","Resort Hotel",7225.67
2015,"CHN","City Hotel",2863.17
2015,"CHN","Resort Hotel",1647.81
2015,"CN","City Hotel",4710.21
2015,"CN","Resort Hotel",6347.17
2015,"DEU","City Hotel",35462.34
2015,"DEU","Resort Hotel",8088.14
2015,"ESP","City Hotel",83900.69
2015,"ESP","Resort Hotel",92219.5
2015,"FRA","City Hotel",88241.38
2015,"FRA","Resort Hotel",27518.08
2015,"GBR","City Hotel",25672.26
2015,"GBR","Resort Hotel",77397.34
2015,"IRL","City Hotel",4264.67
2015,"IRL","Resort Hotel",34152.35
2015,"ISR","City Hotel",10679.21
2015,"ISR","Resort Hotel",461.28
2015,"ITA","City Hotel",47238.9
2015,"ITA","Resort Hotel",6058.43
2015,"NLD","City Hotel",10436.66
2015,"NLD","Resort Hotel",7603.76
2015,"NOR","City Hotel",2719.93
2015,"NOR","Resort Hotel",1913.51
2015,"POL","City Hotel",5102.66
2015,"POL","Resort Hotel",3601.34
2015,"ROU","City Hotel",2542.41
2015,"ROU","Resort Hotel",3376.68
2015,"RUS","City Hotel",5503.14
2015,"RUS","Resort Hotel",3675.96
2015,"SWE","City Hotel",8500.49
2015,"SWE","Resort Hotel",2395.1
2015,"USA","City Hotel",11974.69
2015,"USA","Resort Hotel",7313.71
2016,"AUT","City Hotel",61561.72
2016,"AUT","Resort Hotel",6975.74
2016,"BEL","City Hotel",105677.33
2016,"BEL","Resort Hotel",15420.34
2016,"BRA","City Hotel",93519.7
2016,"BRA","Resort Hotel",19459.4
2016,"CHE","City Hotel",76994.95
2016,"CHE","Resort Hotel",18999.23
2016,"CHN","City Hotel",51583.9
2016,"CHN","Resort Hotel",4805.53
2016,"CN","City Hotel",26262.5
2016,"CN","Resort Hotel",26991.26
2016,"DEU","City Hotel",333375.31
2016,"DEU","Resort Hotel",55295.51
2016,"ESP","City Hotel",271598.13
2016,"ESP","Resort Hotel",195797.2
2016,"FRA","City Hotel",484780.62
2016,"FRA","Resort Hotel",64904.51
2016,"GBR","City Hotel",268719.29
2016,"GBR","Resort Hotel",242154.8
2016,"IRL","City Hotel",57512.05
2016,"IRL","Resort Hotel",78721.75
2016,"ISR","City Hotel",29277.3
2016,"ISR","Resort Hotel",901.68
2016,"ITA","City Hotel",191588.56
2016,"ITA","Resort Hotel",20305.29
2016,"NLD","City Hotel",93584.09
2016,"NLD","Resort Hotel",21455.26
2016,"NOR","City Hotel",24739.75
2016,"NOR","Resort Hotel",4948.24
2016,"POL","City Hotel",36912.5
2016,"POL","Resort Hotel",15230.17
2016,"ROU","City Hotel",16215.85
2016,"ROU","Resort Hotel",9383.9
2016,"RUS","City Hotel",21082.63
2016,"RUS","Resort Hotel",7655.12
2016,"SWE","City Hotel",37623.94
2016,"SWE","Resort Hotel",16064.07
2016,"USA","City Hotel",83110.5
2016,"USA","Resort Hotel",27381.33
2017,"AUT","City Hotel",49390.11
2017,"AUT","Resort Hotel",8279.73
2017,"BEL","City Hotel",105949.77
2017,"BEL","Resort Hotel",18989.23
2017,"BRA","City Hotel",96555.54
2017,"BRA","Resort Hotel",22853.27
2017,"CHE","City Hotel",69536.61
2017,"CHE","Resort Hotel",31221.36
2017,"CHN","City Hotel",44315.84
2017,"CHN","Resort Hotel",5212.15
2017,"CN","City Hotel",33863.6
2017,"CN","Resort Hotel",40837.78
2017,"DEU","City Hotel",292224.93
2017,"DEU","Resort Hotel",36292.93
2017,"ESP","City Hotel",172112.23
2017,"ESP","Resort Hotel",186789.38
2017,"FRA","City Hotel",412581.61
2017,"FRA","Resort Hotel",63637.73
2017,"GBR","City Hotel",319284.29
2017,"GBR","Resort Hotel",231429.94
2017,"IRL","City Hotel",78194.64
2017,"IRL","Resort Hotel",78553.12
2017,"ISR","City Hotel",30571.16
2017,"ISR","Resort Hotel",2164.87
2017,"ITA","City Hotel",141520.49
2017,"ITA","Resort Hotel",22417.28
2017,"NLD","City Hotel",79987.62
2017,"NLD","Resort Hotel",14344.46
2017,"NOR","City Hotel",32672.79
2017,"NOR","Resort Hotel",6837.02
2017,"POL","City Hotel",26368.93
2017,"POL","Resort Hotel",11208.51
2017,"ROU","City Hotel",15965.18
2017,"ROU","Resort Hotel",10032.34
2017,"RUS","City Hotel",23741.39
2017,"RUS","Resort Hotel",13360.46
2017,"SWE","City Hotel",38607.65
2017,"SWE","Resort Hotel",12415.28
2017,"USA","City Hotel",98708.14
2017,"USA","Resort Hotel",29426.38
